Latitude,Longitude,Time,Address,Name
37.9184907,-122.300657,2018-12-31 16:13:51,"7400-7448 Schmidt Ln ,El Cerrito, CA 94530 ,USA",El Cerrito Foundation Memorial Grove
37.899311,-122.298936,2018-12-31 17:00:17,"2000-8000 El Cerrito Plaza ,El Cerrito, CA 94530 ,USA",El Cerrito Plaza
37.899311,-122.298936,2019-01-01 12:22:08,"2000-8000 El Cerrito Plaza ,El Cerrito, CA 94530 ,USA",El Cerrito Plaza
37.918995,-122.320315,2019-01-01 13:51:14,"5317 Creely Ave ,Richmond, CA 94804 ,USA",Arbors Apartments
37.9558843,-122.3318817,2019-01-01 18:23:07,"700 San Pablo Towne Center ,San Pablo, CA 94806 ,USA",Empire Buffet
37.952433,-122.3345099,2019-01-01 19:46:49,"13255 San Pablo Ave ,San Pablo, CA 94806 ,USA",San Pablo Lytton Casino
37.918995,-122.320315,2019-01-01 20:58:31,"5317 Creely Ave ,Richmond, CA 94804 ,USA",Arbors Apartments
37.9689812,-122.5147765,2019-01-02 08:51:24,"181 3rd St STE 100 ,San Rafael, CA 94901 ,USA",VITA Planning & Landscape Architecture
37.9689812,-122.5147765,2019-01-02 13:03:41,"181 3rd St STE 100 ,San Rafael, CA 94901 ,USA",VITA Planning & Landscape Architecture
37.9689812,-122.5147765,2019-01-02 17:39:30,"181 3rd St STE 100 ,San Rafael, CA 94901 ,USA",VITA Planning & Landscape Architecture
37.918995,-122.320315,2019-01-02 18:25:59,"5317 Creely Ave ,Richmond, CA 94804 ,USA",Arbors Apartments
37.9689812,-122.5147765,2019-01-03 09:03:03,"181 3rd St STE 100 ,San Rafael, CA 94901 ,USA",VITA Planning & Landscape Architecture
37.9689812,-122.5147765,2019-01-03 10:11:58,"181 3rd St STE 100 ,San Rafael, CA 94901 ,USA",VITA Planning & Landscape Architecture
37.9713437,-122.5168364,2019-01-03 12:00:40,"340 3rd St ,San Rafael, CA 94901 ,USA",Whole Foods Market
37.9689812,-122.5147765,2019-01-03 12:32:14,"181 3rd St STE 100 ,San Rafael, CA 94901 ,USA",VITA Planning & Landscape Architecture
37.8551035,-122.2520854,2019-01-03 18:56:39,"2715 Prince St ,Berkeley, CA 94705 ,USA",Chinese for Christ Berkeley Church 中华归主柏克莱教会
37.918995,-122.320315,2019-01-03 22:11:38,"5317 Creely Ave ,Richmond, CA 94804 ,USA",Arbors Apartments
37.9689812,-122.5147765,2019-01-04 09:11:13,"181 3rd St STE 100 ,San Rafael, CA 94901 ,USA",VITA Planning & Landscape Architecture
37.918995,-122.320315,2019-01-04 18:23:11,"5317 Creely Ave ,Richmond, CA 94804 ,USA",Arbors Apartments
37.8774221,-122.2686232,2019-01-05 10:05:41,"1625 Shattuck Ave # 300 ,Berkeley, CA 94709 ,USA",PlaceWorks
37.8802363,-122.1857649,2019-01-05 13:00:01,"1 Orinda Way ,Orinda, CA 94563 ,USA",Yan's Restaurant
37.9194458,-122.318951,2019-01-05 15:07:48,"5324 Cypress Ave ,El Cerrito, CA 94530 ,USA",St Peter CME Church
37.8982327,-122.3203925,2019-01-05 17:03:54,"4801 Central Ave ,Richmond, CA 94804 ,USA",Costco Wholesale
37.918995,-122.320315,2019-01-05 18:01:36,"5317 Creely Ave ,Richmond, CA 94804 ,USA",Arbors Apartments
37.8551035,-122.2520854,2019-01-06 10:55:19,"2715 Prince St ,Berkeley, CA 94705 ,USA",Chinese for Christ Berkeley Church 中华归主柏克莱教会
37.918995,-122.320315,2019-01-06 15:33:31,"5317 Creely Ave ,Richmond, CA 94804 ,USA",Arbors Apartments
37.9689812,-122.5147765,2019-01-07 09:03:24,"181 3rd St STE 100 ,San Rafael, CA 94901 ,USA",VITA Planning & Landscape Architecture
37.9689812,-122.5147765,2019-01-07 10:14:42,"181 3rd St STE 100 ,San Rafael, CA 94901 ,USA",VITA Planning & Landscape Architecture
37.9701614,-122.5201857,2019-01-07 11:55:48,"555 2nd St ,San Rafael, CA 94901 ,USA",Taco Bell
37.9689812,-122.5147765,2019-01-07 13:21:32,"181 3rd St STE 100 ,San Rafael, CA 94901 ,USA",VITA Planning & Landscape Architecture
37.9689812,-122.5147765,2019-01-07 14:40:08,"181 3rd St STE 100 ,San Rafael, CA 94901 ,USA",VITA Planning & Landscape Architecture
37.918995,-122.320315,2019-01-07 20:12:18,"5317 Creely Ave ,Richmond, CA 94804 ,USA",Arbors Apartments
37.9689812,-122.5147765,2019-01-09 09:07:54,"181 3rd St STE 100 ,San Rafael, CA 94901 ,USA",VITA Planning & Landscape Architecture
37.9689812,-122.5147765,2019-01-09 17:37:40,"181 3rd St STE 100 ,San Rafael, CA 94901 ,USA",VITA Planning & Landscape Architecture
37.9184889,-122.3203843,2019-01-09 18:24:58,"5226 Creely Ave ,Richmond, CA 94804 ,USA",5226 Creely Ave
37.9689812,-122.5147765,2019-01-10 09:06:52,"181 3rd St STE 100 ,San Rafael, CA 94901 ,USA",VITA Planning & Landscape Architecture
37.9689812,-122.5147765,2019-01-10 12:57:21,"181 3rd St STE 100 ,San Rafael, CA 94901 ,USA",VITA Planning & Landscape Architecture
37.8551035,-122.2520854,2019-01-10 18:52:35,"2715 Prince St ,Berkeley, CA 94705 ,USA",Chinese for Christ Berkeley Church 中华归主柏克莱教会
37.9184889,-122.3203843,2019-01-10 21:58:30,"5226 Creely Ave ,Richmond, CA 94804 ,USA",5226 Creely Ave
37.9689812,-122.5147765,2019-01-11 09:06:26,"181 3rd St STE 100 ,San Rafael, CA 94901 ,USA",VITA Planning & Landscape Architecture
37.9713437,-122.5168364,2019-01-11 12:03:52,"340 3rd St ,San Rafael, CA 94901 ,USA",Whole Foods Market
37.9689812,-122.5147765,2019-01-11 13:28:01,"181 3rd St STE 100 ,San Rafael, CA 94901 ,USA",VITA Planning & Landscape Architecture
37.9184889,-122.3203843,2019-01-11 18:53:40,"5226 Creely Ave ,Richmond, CA 94804 ,USA",5226 Creely Ave
37.76681,-122.2423415,2019-01-12 12:59:08,"1550 Oak St ,Alameda, CA 94501 ,USA",Alameda Free Library
