Latitude,Longitude,Time,Address,Name
37.7790819,-122.4157961,2019-05-08 18:33:19,"100 Larkin St ,San Francisco, CA 94102 ,USA",San Francisco Public Library
37.7754027,-122.4092892,2019-05-09 08:50:20,"1175 Folsom St ,San Francisco, CA 94103 ,USA",Cliff Lowe Associates
37.783733,-122.4068808,2019-05-09 17:27:30,"865 Market St ,San Francisco, CA 94103 ,USA",Westfield San Francisco Centre
37.844497,-122.25175,2019-05-09 18:20:31,"Oakland, CA 94618 ,USA",College Av:Keith Av
37.8551035,-122.2520854,2019-05-09 18:58:27,"2715 Prince St ,Berkeley, CA 94705 ,USA",Chinese for Christ Berkeley Church 中华归主柏克莱教会
37.9184889,-122.3203843,2019-05-09 22:17:54,"5226 Creely Ave ,Richmond, CA 94804 ,USA",5226 Creely Ave
37.7754027,-122.4092892,2019-05-10 08:19:55,"1175 Folsom St ,San Francisco, CA 94103 ,USA",Cliff Lowe Associates
37.7489818,-122.4122851,2019-05-10 11:38:05,"3138 Kamille Ct ,San Francisco, CA 94110 ,USA",Bernal Dwellings Apartments
37.7754027,-122.4092892,2019-05-10 13:19:49,"1175 Folsom St ,San Francisco, CA 94103 ,USA",Cliff Lowe Associates
37.7684587,-122.4128685,2019-05-10 18:52:14,"1717 Harrison St ,San Francisco, CA 94103 ,USA",Best Buy
37.7768324,-122.4157837,2019-05-10 19:24:41,"44 9th St ,San Francisco, CA 94103 ,USA",Cadillac Outdoor Bar & Grill
37.8551035,-122.2520854,2019-05-11 15:51:53,"2715 Prince St ,Berkeley, CA 94705 ,USA",Chinese for Christ Berkeley Church 中华归主柏克莱教会
37.8718992,-122.2585399,2019-05-11 18:48:25,"Berkeley, CA ,USA","University of California, Berkeley"
37.9184889,-122.3203843,2019-05-11 22:50:25,"5226 Creely Ave ,Richmond, CA 94804 ,USA",5226 Creely Ave
37.8551035,-122.2520854,2019-05-12 10:58:55,"2715 Prince St ,Berkeley, CA 94705 ,USA",Chinese for Christ Berkeley Church 中华归主柏克莱教会
37.8718992,-122.2585399,2019-05-12 14:26:19,"Berkeley, CA ,USA","University of California, Berkeley"
37.8988707,-122.3075841,2019-05-12 19:55:46,"3288 Pierce St ,Richmond, CA 94804 ,USA",Pacific East Mall
37.9184889,-122.3203843,2019-05-12 20:51:09,"5226 Creely Ave ,Richmond, CA 94804 ,USA",5226 Creely Ave
37.7754027,-122.4092892,2019-05-13 08:49:45,"1175 Folsom St ,San Francisco, CA 94103 ,USA",Cliff Lowe Associates
37.9184889,-122.3203843,2019-05-13 18:26:50,"5226 Creely Ave ,Richmond, CA 94804 ,USA",5226 Creely Ave
37.7754027,-122.4092892,2019-05-14 08:51:57,"1175 Folsom St ,San Francisco, CA 94103 ,USA",Cliff Lowe Associates
37.7764853,-122.4117173,2019-05-14 20:43:52,"191 8th St ,San Francisco, CA 94103 ,USA",Harvest Urban Market
37.7754027,-122.4092892,2019-05-15 08:40:21,"1175 Folsom St ,San Francisco, CA 94103 ,USA",Cliff Lowe Associates
37.9251245,-122.3168742,2019-05-15 21:48:05,"6400 Cutting Blvd ,El Cerrito, CA 94530 ,USA",El Cerrito del Norte Station
37.9184889,-122.3203843,2019-05-15 22:03:12,"5226 Creely Ave ,Richmond, CA 94804 ,USA",5226 Creely Ave
37.7754027,-122.4092892,2019-05-16 08:34:02,"1175 Folsom St ,San Francisco, CA 94103 ,USA",Cliff Lowe Associates
37.8551035,-122.2520854,2019-05-16 18:59:55,"2715 Prince St ,Berkeley, CA 94705 ,USA",Chinese for Christ Berkeley Church 中华归主柏克莱教会
37.9184889,-122.3203843,2019-05-16 22:18:20,"5226 Creely Ave ,Richmond, CA 94804 ,USA",5226 Creely Ave
37.7754027,-122.4092892,2019-05-17 08:47:50,"1175 Folsom St ,San Francisco, CA 94103 ,USA",Cliff Lowe Associates
